relative_path,readable,integrity_error,truncated_warning,width,height,aspect_ratio,channels_or_mode,image_format,file_size_bytes,audit_status,review_reason
Non-Venomous/Checkered Keelback/7170810054_1373b1b24f_b.jpg,True,,False,1024,547,1.872029,RGB,JPEG,168030,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/7170812976_3a35bbdba2_b.jpg,True,,False,1024,717,1.428173,RGB,JPEG,357020,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/8499894995_0bb1f2a772_m.jpg,True,,False,240,180,1.333333,RGB,JPEG,21651,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/8500953244_9c4fde2dc2_m.jpg,True,,False,240,180,1.333333,RGB,JPEG,24764,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/8934339313_505460cf04.jpg,True,,False,500,375,1.333333,RGB,JPEG,166791,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/9181975166_5a8900bcb4_b.jpg,True,,False,1024,576,1.777778,RGB,JPEG,260078,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/9258449401_fee23ab38e.jpg,True,,False,500,327,1.529052,RGB,JPEG,67828,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/_9068dce4-3ca7-11e7-99bd-b9a47f5fadca.jpg,True,,False,960,538,1.784387,RGB,JPEG,82682,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/_DSC0413.jpg,True,,False,1407,850,1.655294,RGB,JPEG,321260,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/_DSC0418.jpg,True,,False,1300,850,1.529412,RGB,JPEG,378724,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/amphiesma-stolatum_gerrut2.jpg,True,,False,800,535,1.495327,RGB,JPEG,177139,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Amphiesma_stolata (2).jpg,True,,False,320,223,1.434978,RGB,JPEG,38985,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Amphiesma_stolata.jpg,True,,False,320,234,1.367521,RGB,JPEG,35488,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/AmpMai2.jpg,True,,False,443,293,1.511945,RGB,JPEG,222418,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/BOM 12Dec11 Checkered Keelback Watersnake 03.jpg,True,,False,580,385,1.506494,RGB,JPEG,43606,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Buff-Striped-Keelback.jpg,True,,False,500,375,1.333333,RGB,JPEG,107933,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/C1TZ9PQVEAAUSUZ.jpg,True,,False,850,850,1.0,RGB,JPEG,47155,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/C4hS1IoVUAASDWp.jpg,True,,False,309,432,0.715278,RGB,JPEG,10212,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Char8_Small_tail.JPG,True,,False,449,337,1.332344,RGB,JPEG,22632,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checked keelback watersnake.jpg,True,,False,400,266,1.503759,RGB,JPEG,68119,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checked keelback.jpg,True,,False,500,335,1.492537,RGB,JPEG,171615,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered keelback blog.JPG,True,,False,832,768,1.083333,RGB,JPEG,100909,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered keelback blog2.JPG,True,,False,1600,1369,1.168736,RGB,JPEG,169138,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered Keelback.jpg,True,,False,902,668,1.350299,RGB,JPEG,222106,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered keelback_001.JPG,True,,False,1600,1539,1.039636,RGB,JPEG,390249,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered keelback_002.jpg,True,,False,1600,1063,1.505174,RGB,JPEG,239621,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered Keelback_003.jpg,True,,False,1000,651,1.536098,RGB,JPEG,185321,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered keelback_004.jpg,True,,False,440,320,1.375,RGB,JPEG,107536,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keel-back-water-snake-xenochropis-piscator-et0cmb.jpg,True,,False,640,447,1.431767,RGB,JPEG,152421,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelback-.jpg,True,,False,960,640,1.5,RGB,JPEG,444230,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelback-1.jpg,True,,False,640,480,1.333333,RGB,JPEG,55011,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/Checkered-Keelback-2.jpg,True,,False,640,480,1.333333,RGB,JPEG,122868,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-or-Asiatic-water-snake-Xenochrophis-piscator-11-2015-Toon1.jpg,True,,False,400,281,1.423488,RGB,JPEG,62779,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-or-Asiatic-water-snake-Xenochrophis-piscator-11-2015-Toon2.jpg,True,,False,400,267,1.498127,RGB,JPEG,48032,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-snake.jpg,True,,False,600,400,1.5,RGB,JPEG,66098,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-water-snake-xenochrophis-piscator-keoladeo-ghana-EYJX7F.jpg,True,,False,1300,953,1.364113,RGB,JPEG,129055,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-water-snake-xenochrophis-piscator-keoladeo-ghana-eyjx7x.jpg,True,,False,450,319,1.410658,RGB,JPEG,46190,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-water-snake-xenochrophis-piscator-keoladeo-ghana-EYJX8X.jpg,True,,False,1300,953,1.364113,RGB,JPEG,163837,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-non-venomous-common-checkered-a0jd7j.jpg,True,,False,640,445,1.438202,RGB,JPEG,40440,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-non-venomous-common-checkered-BB81D9.jpg,True,,False,1300,956,1.359833,RGB,JPEG,252343,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
Non-Venomous/Checkered Keelback/checkered-keelback-xenochrophis-piscator-non-venomous-common-checkered-C68YTX.jpg,True,,False,1300,956,1.359833,RGB,JPEG,299563,PROVENANCE_REVIEW,source provenance and training reuse rights not verified
